season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2020 Summer Season,Week 1,10.11,MAD,G2,0 - 1
LEC 2020 Summer Season,Week 1,10.11,VIT,S04,1 - 0
LEC 2020 Summer Season,Week 1,10.11,OG,SK,0 - 1
LEC 2020 Summer Season,Week 1,10.11,RGE,XL,1 - 0
LEC 2020 Summer Season,Week 1,10.11,MSF,FNC,0 - 1
LEC 2020 Summer Season,Week 1,10.11,S04,SK,0 - 1
LEC 2020 Summer Season,Week 1,10.11,RGE,MSF,1 - 0
LEC 2020 Summer Season,Week 1,10.11,XL,MAD,0 - 1
LEC 2020 Summer Season,Week 1,10.11,FNC,VIT,1 - 0
LEC 2020 Summer Season,Week 1,10.11,G2,OG,0 - 1
LEC 2020 Summer Season,Week 1,10.11,SK,MAD,0 - 1
LEC 2020 Summer Season,Week 1,10.11,S04,RGE,0 - 1
LEC 2020 Summer Season,Week 1,10.11,OG,MSF,0 - 1
LEC 2020 Summer Season,Week 1,10.11,G2,VIT,0 - 1
LEC 2020 Summer Season,Week 1,10.11,FNC,XL,1 - 0
LEC 2020 Summer Season,Week 2,10.12,VIT,RGE,0 - 1
LEC 2020 Summer Season,Week 2,10.12,MSF,SK,0 - 1
LEC 2020 Summer Season,Week 2,10.12,G2,S04,1 - 0
LEC 2020 Summer Season,Week 2,10.12,OG,XL,1 - 0
LEC 2020 Summer Season,Week 2,10.12,FNC,MAD,0 - 1
LEC 2020 Summer Season,Week 2,10.12,SK,XL,0 - 1
LEC 2020 Summer Season,Week 2,10.12,MSF,S04,1 - 0
LEC 2020 Summer Season,Week 2,10.12,VIT,MAD,0 - 1
LEC 2020 Summer Season,Week 2,10.12,G2,RGE,1 - 0
LEC 2020 Summer Season,Week 2,10.12,FNC,OG,0 - 1
LEC 2020 Summer Season,Week 3,10.12,S04,XL,0 - 1
LEC 2020 Summer Season,Week 3,10.12,VIT,MSF,0 - 1
LEC 2020 Summer Season,Week 3,10.12,G2,SK,0 - 1
LEC 2020 Summer Season,Week 3,10.12,MAD,OG,1 - 0
LEC 2020 Summer Season,Week 3,10.12,FNC,RGE,0 - 1
LEC 2020 Summer Season,Week 3,10.12,VIT,SK,1 - 0
LEC 2020 Summer Season,Week 3,10.12,MSF,XL,1 - 0
LEC 2020 Summer Season,Week 3,10.12,OG,S04,1 - 0
LEC 2020 Summer Season,Week 3,10.12,MAD,RGE,1 - 0
LEC 2020 Summer Season,Week 3,10.12,G2,FNC,1 - 0
LEC 2020 Summer Season,Week 4,10.13,VIT,XL,0 - 1
LEC 2020 Summer Season,Week 4,10.13,MAD,S04,1 - 0
LEC 2020 Summer Season,Week 4,10.13,FNC,SK,1 - 0
LEC 2020 Summer Season,Week 4,10.13,RGE,OG,1 - 0
LEC 2020 Summer Season,Week 4,10.13,MSF,G2,0 - 1
LEC 2020 Summer Season,Week 4,10.13,RGE,SK,1 - 0
LEC 2020 Summer Season,Week 4,10.13,VIT,OG,1 - 0
LEC 2020 Summer Season,Week 4,10.13,FNC,S04,0 - 1
LEC 2020 Summer Season,Week 4,10.13,G2,XL,0 - 1
LEC 2020 Summer Season,Week 4,10.13,MSF,MAD,1 - 0
LEC 2020 Summer Season,Week 5,10.14,VIT,SK,0 - 1
LEC 2020 Summer Season,Week 5,10.14,RGE,S04,1 - 0
LEC 2020 Summer Season,Week 5,10.14,MSF,FNC,0 - 1
LEC 2020 Summer Season,Week 5,10.14,MAD,XL,1 - 0
LEC 2020 Summer Season,Week 5,10.14,G2,OG,0 - 1
LEC 2020 Summer Season,Week 5,10.14,SK,S04,1 - 0
LEC 2020 Summer Season,Week 5,10.14,RGE,XL,1 - 0
LEC 2020 Summer Season,Week 5,10.14,MSF,OG,0 - 1
LEC 2020 Summer Season,Week 5,10.14,VIT,FNC,0 - 1
LEC 2020 Summer Season,Week 5,10.14,G2,MAD,0 - 1
LEC 2020 Summer Season,Week 6,10.14,SK,XL,0 - 1
LEC 2020 Summer Season,Week 6,10.14,VIT,OG,1 - 0
LEC 2020 Summer Season,Week 6,10.14,G2,S04,0 - 1
LEC 2020 Summer Season,Week 6,10.14,MSF,RGE,0 - 1
LEC 2020 Summer Season,Week 6,10.14,FNC,MAD,0 - 1
LEC 2020 Summer Season,Week 6,10.14,VIT,XL,0 - 1
LEC 2020 Summer Season,Week 6,10.14,MSF,S04,0 - 1
LEC 2020 Summer Season,Week 6,10.14,MAD,SK,0 - 1
LEC 2020 Summer Season,Week 6,10.14,FNC,OG,1 - 0
LEC 2020 Summer Season,Week 6,10.14,G2,RGE,1 - 0
LEC 2020 Summer Season,Week 7,10.15,S04,XL,1 - 0
LEC 2020 Summer Season,Week 7,10.15,MSF,SK,1 - 0
LEC 2020 Summer Season,Week 7,10.15,MAD,OG,1 - 0
LEC 2020 Summer Season,Week 7,10.15,VIT,G2,0 - 1
LEC 2020 Summer Season,Week 7,10.15,FNC,RGE,0 - 1
LEC 2020 Summer Season,Week 7,10.15,OG,S04,0 - 1
LEC 2020 Summer Season,Week 7,10.15,MSF,XL,0 - 1
LEC 2020 Summer Season,Week 7,10.15,RGE,SK,0 - 1
LEC 2020 Summer Season,Week 7,10.15,VIT,MAD,1 - 0
LEC 2020 Summer Season,Week 7,10.15,G2,FNC,1 - 0
LEC 2020 Summer Season,Week 8,10.11,VIT,RGE,1 - 0
LEC 2020 Summer Season,Week 8,10.11,OG,XL,0 - 1
LEC 2020 Summer Season,Week 8,10.11,FNC,S04,0 - 1
LEC 2020 Summer Season,Week 8,10.11,MSF,MAD,0 - 1
LEC 2020 Summer Season,Week 8,10.11,G2,SK,1 - 0
LEC 2020 Summer Season,Week 8,10.11,VIT,S04,0 - 1
LEC 2020 Summer Season,Week 8,10.11,OG,SK,0 - 1
LEC 2020 Summer Season,Week 8,10.11,FNC,XL,1 - 0
LEC 2020 Summer Season,Week 8,10.11,MSF,G2,0 - 1
LEC 2020 Summer Season,Week 8,10.11,MAD,RGE,0 - 1
LEC 2020 Summer Season,Week 8,10.11,VIT,MSF,0 - 1
LEC 2020 Summer Season,Week 8,10.11,MAD,S04,0 - 1
LEC 2020 Summer Season,Week 8,10.11,RGE,OG,1 - 0
LEC 2020 Summer Season,Week 8,10.11,G2,XL,1 - 0
LEC 2020 Summer Season,Week 8,10.11,FNC,SK,1 - 0
