season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2022 Summer Season,Week 1,12.11,VIT,MAD,0 - 1
LEC 2022 Summer Season,Week 1,12.11,BDS,SK,0 - 1
LEC 2022 Summer Season,Week 1,12.11,MSF,XL,0 - 1
LEC 2022 Summer Season,Week 1,12.11,G2,AST,1 - 0
LEC 2022 Summer Season,Week 1,12.11,RGE,FNC,0 - 1
LEC 2022 Summer Season,Week 1,12.11,BDS,AST,0 - 1
LEC 2022 Summer Season,Week 1,12.11,SK,MAD,0 - 1
LEC 2022 Summer Season,Week 1,12.11,VIT,MSF,1 - 0
LEC 2022 Summer Season,Week 1,12.11,FNC,XL,0 - 1
LEC 2022 Summer Season,Week 1,12.11,RGE,G2,0 - 1
LEC 2022 Summer Season,Week 1,12.11,MSF,AST,0 - 1
LEC 2022 Summer Season,Week 1,12.11,VIT,BDS,1 - 0
LEC 2022 Summer Season,Week 1,12.11,SK,FNC,0 - 1
LEC 2022 Summer Season,Week 1,12.11,G2,XL,1 - 0
LEC 2022 Summer Season,Week 1,12.11,RGE,MAD,1 - 0
LEC 2022 Summer Season,Week 2,12.11,SK,AST,0 - 1
LEC 2022 Summer Season,Week 2,12.11,VIT,XL,0 - 1
LEC 2022 Summer Season,Week 2,12.11,RGE,MSF,1 - 0
LEC 2022 Summer Season,Week 2,12.11,BDS,G2,1 - 0
LEC 2022 Summer Season,Week 2,12.11,MAD,FNC,1 - 0
LEC 2022 Summer Season,Week 2,12.11,SK,MSF,0 - 1
LEC 2022 Summer Season,Week 2,12.11,MAD,XL,0 - 1
LEC 2022 Summer Season,Week 2,12.11,RGE,AST,1 - 0
LEC 2022 Summer Season,Week 2,12.11,BDS,FNC,0 - 1
LEC 2022 Summer Season,Week 2,12.11,VIT,G2,0 - 1
LEC 2022 Summer Season,Week 3,12.12,BDS,MSF,0 - 1
LEC 2022 Summer Season,Week 3,12.12,VIT,SK,1 - 0
LEC 2022 Summer Season,Week 3,12.12,RGE,XL,1 - 0
LEC 2022 Summer Season,Week 3,12.12,FNC,AST,1 - 0
LEC 2022 Summer Season,Week 3,12.12,MAD,G2,1 - 0
LEC 2022 Summer Season,Week 3,12.12,BDS,XL,0 - 1
LEC 2022 Summer Season,Week 3,12.12,SK,RGE,0 - 1
LEC 2022 Summer Season,Week 3,12.12,VIT,AST,1 - 0
LEC 2022 Summer Season,Week 3,12.12,MSF,MAD,1 - 0
LEC 2022 Summer Season,Week 3,12.12,G2,FNC,0 - 1
LEC 2022 Summer Season,Week 4,12.12,XL,AST,0 - 1
LEC 2022 Summer Season,Week 4,12.12,BDS,MAD,0 - 1
LEC 2022 Summer Season,Week 4,12.12,MSF,FNC,1 - 0
LEC 2022 Summer Season,Week 4,12.12,SK,G2,1 - 0
LEC 2022 Summer Season,Week 4,12.12,VIT,RGE,0 - 1
LEC 2022 Summer Season,Week 4,12.12,SK,XL,1 - 0
LEC 2022 Summer Season,Week 4,12.12,MAD,AST,1 - 0
LEC 2022 Summer Season,Week 4,12.12,BDS,RGE,0 - 1
LEC 2022 Summer Season,Week 4,12.12,MSF,G2,1 - 0
LEC 2022 Summer Season,Week 4,12.12,VIT,FNC,1 - 0
LEC 2022 Summer Season,Week 5,12.13,BDS,SK,0 - 1
LEC 2022 Summer Season,Week 5,12.13,MSF,XL,0 - 1
LEC 2022 Summer Season,Week 5,12.13,VIT,MAD,0 - 1
LEC 2022 Summer Season,Week 5,12.13,G2,AST,1 - 0
LEC 2022 Summer Season,Week 5,12.13,RGE,FNC,1 - 0
LEC 2022 Summer Season,Week 5,12.13,BDS,AST,0 - 1
LEC 2022 Summer Season,Week 5,12.13,SK,MAD,0 - 1
LEC 2022 Summer Season,Week 5,12.13,VIT,MSF,1 - 0
LEC 2022 Summer Season,Week 5,12.13,RGE,G2,0 - 1
LEC 2022 Summer Season,Week 5,12.13,FNC,XL,0 - 1
LEC 2022 Summer Season,Week 6,12.13,SK,AST,1 - 0
LEC 2022 Summer Season,Week 6,12.13,RGE,MSF,0 - 1
LEC 2022 Summer Season,Week 6,12.13,VIT,XL,1 - 0
LEC 2022 Summer Season,Week 6,12.13,BDS,G2,0 - 1
LEC 2022 Summer Season,Week 6,12.13,MAD,FNC,1 - 0
LEC 2022 Summer Season,Week 6,12.13,SK,MSF,0 - 1
LEC 2022 Summer Season,Week 6,12.13,RGE,AST,0 - 1
LEC 2022 Summer Season,Week 6,12.13,MAD,XL,1 - 0
LEC 2022 Summer Season,Week 6,12.13,BDS,FNC,0 - 1
LEC 2022 Summer Season,Week 6,12.13,VIT,G2,1 - 0
LEC 2022 Summer Season,Week 7,12.14,MSF,AST,1 - 0
LEC 2022 Summer Season,Week 7,12.14,VIT,BDS,1 - 0
LEC 2022 Summer Season,Week 7,12.14,SK,FNC,0 - 1
LEC 2022 Summer Season,Week 7,12.14,RGE,MAD,1 - 0
LEC 2022 Summer Season,Week 7,12.14,G2,XL,1 - 0
LEC 2022 Summer Season,Week 7,12.14,VIT,AST,0 - 1
LEC 2022 Summer Season,Week 7,12.14,BDS,XL,1 - 0
