season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2022 Summer Season,Week 7,12.14,MSF,MAD,1 - 0
LEC 2022 Summer Season,Week 7,12.14,SK,RGE,1 - 0
LEC 2022 Summer Season,Week 7,12.14,G2,FNC,1 - 0
LEC 2022 Summer Season,Week 8,12.11,BDS,MSF,0 - 1
LEC 2022 Summer Season,Week 8,12.11,VIT,SK,0 - 1
LEC 2022 Summer Season,Week 8,12.11,RGE,XL,1 - 0
LEC 2022 Summer Season,Week 8,12.11,FNC,AST,1 - 0
LEC 2022 Summer Season,Week 8,12.11,MAD,G2,0 - 1
LEC 2022 Summer Season,Week 8,12.11,BDS,RGE,1 - 0
LEC 2022 Summer Season,Week 8,12.11,SK,XL,0 - 1
LEC 2022 Summer Season,Week 8,12.11,MAD,AST,1 - 0
LEC 2022 Summer Season,Week 8,12.11,VIT,FNC,0 - 1
LEC 2022 Summer Season,Week 8,12.11,MSF,G2,0 - 1
LEC 2022 Summer Season,Week 8,12.11,XL,AST,1 - 0
LEC 2022 Summer Season,Week 8,12.11,BDS,MAD,0 - 1
LEC 2022 Summer Season,Week 8,12.11,SK,G2,0 - 1
LEC 2022 Summer Season,Week 8,12.11,VIT,RGE,0 - 1
LEC 2022 Summer Season,Week 8,12.11,MSF,FNC,0 - 1
LEC 2022 Summer Season,Tiebreakers,12.14,XL,VIT,1 - 0
LEC 2022 Summer Season,Tiebreakers,12.14,FNC,MSF,0 - 1
