season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2022 Spring Season,Week 1,12.1,VIT,MAD,0 - 1
LEC 2022 Spring Season,Week 1,12.1,SK,RGE,0 - 1
LEC 2022 Spring Season,Week 1,12.1,G2,XL,1 - 0
LEC 2022 Spring Season,Week 1,12.1,MSF,AST,1 - 0
LEC 2022 Spring Season,Week 1,12.1,BDS,FNC,0 - 1
LEC 2022 Spring Season,Week 1,12.1,RGE,MSF,1 - 0
LEC 2022 Spring Season,Week 1,12.1,BDS,XL,1 - 0
LEC 2022 Spring Season,Week 1,12.1,SK,MAD,1 - 0
LEC 2022 Spring Season,Week 1,12.1,G2,AST,1 - 0
LEC 2022 Spring Season,Week 1,12.1,VIT,FNC,0 - 1
LEC 2022 Spring Season,Week 1,12.1,BDS,MSF,0 - 1
LEC 2022 Spring Season,Week 1,12.1,VIT,XL,0 - 1
LEC 2022 Spring Season,Week 1,12.1,RGE,AST,1 - 0
LEC 2022 Spring Season,Week 1,12.1,SK,FNC,0 - 1
LEC 2022 Spring Season,Week 1,12.1,MAD,G2,1 - 0
LEC 2022 Spring Season,Week 2,12.1,MSF,XL,1 - 0
LEC 2022 Spring Season,Week 2,12.1,FNC,AST,1 - 0
LEC 2022 Spring Season,Week 2,12.1,SK,G2,0 - 1
LEC 2022 Spring Season,Week 2,12.1,VIT,BDS,1 - 0
LEC 2022 Spring Season,Week 2,12.1,RGE,MAD,1 - 0
LEC 2022 Spring Season,Week 2,12.1,SK,XL,0 - 1
LEC 2022 Spring Season,Week 2,12.1,MAD,AST,1 - 0
LEC 2022 Spring Season,Week 2,12.1,BDS,RGE,0 - 1
LEC 2022 Spring Season,Week 2,12.1,MSF,FNC,0 - 1
LEC 2022 Spring Season,Week 2,12.1,VIT,G2,1 - 0
LEC 2022 Spring Season,Week 3,12.2,BDS,AST,1 - 0
LEC 2022 Spring Season,Week 3,12.2,MAD,XL,1 - 0
LEC 2022 Spring Season,Week 3,12.2,VIT,SK,1 - 0
LEC 2022 Spring Season,Week 3,12.2,RGE,FNC,1 - 0
LEC 2022 Spring Season,Week 3,12.2,MSF,G2,0 - 1
LEC 2022 Spring Season,Week 3,12.2,BDS,SK,1 - 0
LEC 2022 Spring Season,Week 3,12.2,XL,AST,1 - 0
LEC 2022 Spring Season,Week 3,12.2,MSF,MAD,1 - 0
LEC 2022 Spring Season,Week 3,12.2,VIT,RGE,0 - 1
LEC 2022 Spring Season,Week 3,12.2,G2,FNC,1 - 0
LEC 2022 Spring Season,Week 4,12.2,SK,AST,1 - 0
LEC 2022 Spring Season,Week 4,12.2,RGE,XL,1 - 0
LEC 2022 Spring Season,Week 4,12.2,VIT,MSF,1 - 0
LEC 2022 Spring Season,Week 4,12.2,BDS,G2,0 - 1
LEC 2022 Spring Season,Week 4,12.2,MAD,FNC,0 - 1
LEC 2022 Spring Season,Week 4,12.2,SK,MSF,0 - 1
LEC 2022 Spring Season,Week 4,12.2,BDS,MAD,0 - 1
LEC 2022 Spring Season,Week 4,12.2,VIT,AST,1 - 0
LEC 2022 Spring Season,Week 4,12.2,FNC,XL,0 - 1
LEC 2022 Spring Season,Week 4,12.2,RGE,G2,1 - 0
LEC 2022 Spring Season,Week 5,12.3,BDS,MSF,0 - 1
LEC 2022 Spring Season,Week 5,12.3,RGE,AST,0 - 1
LEC 2022 Spring Season,Week 5,12.3,VIT,XL,0 - 1
LEC 2022 Spring Season,Week 5,12.3,SK,FNC,0 - 1
LEC 2022 Spring Season,Week 5,12.3,MAD,G2,0 - 1
LEC 2022 Spring Season,Week 5,12.3,BDS,XL,0 - 1
LEC 2022 Spring Season,Week 5,12.3,SK,MAD,1 - 0
LEC 2022 Spring Season,Week 5,12.3,RGE,MSF,0 - 1
LEC 2022 Spring Season,Week 5,12.3,G2,AST,1 - 0
LEC 2022 Spring Season,Week 5,12.3,VIT,FNC,0 - 1
LEC 2022 Spring Season,Week 6,12.3,FNC,AST,0 - 1
LEC 2022 Spring Season,Week 6,12.3,MSF,XL,1 - 0
LEC 2022 Spring Season,Week 6,12.3,VIT,BDS,1 - 0
LEC 2022 Spring Season,Week 6,12.3,SK,G2,1 - 0
LEC 2022 Spring Season,Week 6,12.3,RGE,MAD,1 - 0
LEC 2022 Spring Season,Week 6,12.3,XL,AST,1 - 0
LEC 2022 Spring Season,Week 6,12.3,BDS,SK,0 - 1
LEC 2022 Spring Season,Week 6,12.3,MSF,MAD,1 - 0
LEC 2022 Spring Season,Week 6,12.3,VIT,RGE,0 - 1
LEC 2022 Spring Season,Week 6,12.3,G2,FNC,0 - 1
LEC 2022 Spring Season,Week 7,12.4,MAD,XL,0 - 1
LEC 2022 Spring Season,Week 7,12.4,BDS,AST,1 - 0
LEC 2022 Spring Season,Week 7,12.4,VIT,SK,1 - 0
LEC 2022 Spring Season,Week 7,12.4,RGE,FNC,0 - 1
LEC 2022 Spring Season,Week 7,12.4,MSF,G2,1 - 0
LEC 2022 Spring Season,Week 7,12.4,VIT,MSF,1 - 0
LEC 2022 Spring Season,Week 7,12.4,SK,AST,0 - 1
LEC 2022 Spring Season,Week 7,12.4,RGE,XL,1 - 0
LEC 2022 Spring Season,Week 7,12.4,BDS,G2,0 - 1
LEC 2022 Spring Season,Week 7,12.4,MAD,FNC,0 - 1
LEC 2022 Spring Season,Week 8,12.1,SK,RGE,1 - 0
LEC 2022 Spring Season,Week 8,12.1,MSF,AST,1 - 0
LEC 2022 Spring Season,Week 8,12.1,VIT,MAD,0 - 1
LEC 2022 Spring Season,Week 8,12.1,G2,XL,1 - 0
LEC 2022 Spring Season,Week 8,12.1,BDS,FNC,0 - 1
LEC 2022 Spring Season,Week 8,12.1,SK,XL,0 - 1
LEC 2022 Spring Season,Week 8,12.1,MAD,AST,1 - 0
LEC 2022 Spring Season,Week 8,12.1,BDS,RGE,0 - 1
LEC 2022 Spring Season,Week 8,12.1,MSF,FNC,1 - 0
LEC 2022 Spring Season,Week 8,12.1,VIT,G2,0 - 1
LEC 2022 Spring Season,Week 8,12.1,SK,MSF,1 - 0
LEC 2022 Spring Season,Week 8,12.1,VIT,AST,1 - 0
LEC 2022 Spring Season,Week 8,12.1,BDS,MAD,0 - 1
LEC 2022 Spring Season,Week 8,12.1,FNC,XL,1 - 0
LEC 2022 Spring Season,Week 8,12.1,RGE,G2,1 - 0
