season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2021 Spring Season,Week 5,11.3,MSF,SK,0 - 1
LEC 2021 Spring Season,Week 5,11.3,VIT,RGE,0 - 1
LEC 2021 Spring Season,Week 5,11.3,FNC,MAD,0 - 1
LEC 2021 Spring Season,Week 5,11.3,S04,G2,0 - 1
LEC 2021 Spring Season,Week 6,11.4,MAD,SK,0 - 1
LEC 2021 Spring Season,Week 6,11.4,MSF,XL,1 - 0
LEC 2021 Spring Season,Week 6,11.4,VIT,G2,0 - 1
LEC 2021 Spring Season,Week 6,11.4,S04,RGE,0 - 1
LEC 2021 Spring Season,Week 6,11.4,FNC,AST,1 - 0
LEC 2021 Spring Season,Week 6,11.4,S04,MSF,0 - 1
LEC 2021 Spring Season,Week 6,11.4,XL,SK,0 - 1
LEC 2021 Spring Season,Week 6,11.4,VIT,MAD,0 - 1
LEC 2021 Spring Season,Week 6,11.4,RGE,AST,1 - 0
LEC 2021 Spring Season,Week 6,11.4,G2,FNC,1 - 0
LEC 2021 Spring Season,Week 7,11.4,S04,MAD,0 - 1
LEC 2021 Spring Season,Week 7,11.4,MSF,AST,1 - 0
LEC 2021 Spring Season,Week 7,11.4,G2,RGE,1 - 0
LEC 2021 Spring Season,Week 7,11.4,VIT,SK,1 - 0
LEC 2021 Spring Season,Week 7,11.4,FNC,XL,1 - 0
LEC 2021 Spring Season,Week 7,11.4,S04,AST,1 - 0
LEC 2021 Spring Season,Week 7,11.4,VIT,XL,1 - 0
LEC 2021 Spring Season,Week 7,11.4,FNC,SK,1 - 0
LEC 2021 Spring Season,Week 7,11.4,MSF,G2,0 - 1
LEC 2021 Spring Season,Week 7,11.4,MAD,RGE,0 - 1
LEC 2021 Spring Season,Week 8,11.1,RGE,SK,1 - 0
LEC 2021 Spring Season,Week 8,11.1,AST,VIT,1 - 0
LEC 2021 Spring Season,Week 8,11.1,FNC,S04,0 - 1
LEC 2021 Spring Season,Week 8,11.1,MSF,MAD,1 - 0
LEC 2021 Spring Season,Week 8,11.1,XL,G2,1 - 0
LEC 2021 Spring Season,Week 8,11.1,AST,SK,1 - 0
LEC 2021 Spring Season,Week 8,11.1,VIT,S04,0 - 1
LEC 2021 Spring Season,Week 8,11.1,RGE,XL,0 - 1
LEC 2021 Spring Season,Week 8,11.1,MSF,FNC,1 - 0
LEC 2021 Spring Season,Week 8,11.1,G2,MAD,0 - 1
LEC 2021 Spring Season,Week 8,11.1,VIT,MSF,1 - 0
LEC 2021 Spring Season,Week 8,11.1,S04,XL,1 - 0
LEC 2021 Spring Season,Week 8,11.1,MAD,AST,0 - 1
LEC 2021 Spring Season,Week 8,11.1,G2,SK,1 - 0
LEC 2021 Spring Season,Week 8,11.1,FNC,RGE,0 - 1
