season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2021 Spring Season,Week 1,11.1,G2,MAD,1 - 0
LEC 2021 Spring Season,Week 1,11.1,AST,SK,0 - 1
LEC 2021 Spring Season,Week 1,11.1,RGE,XL,1 - 0
LEC 2021 Spring Season,Week 1,11.1,VIT,S04,0 - 1
LEC 2021 Spring Season,Week 1,11.1,MSF,FNC,1 - 0
LEC 2021 Spring Season,Week 1,11.1,S04,XL,0 - 1
LEC 2021 Spring Season,Week 1,11.1,VIT,MSF,1 - 0
LEC 2021 Spring Season,Week 1,11.1,MAD,AST,1 - 0
LEC 2021 Spring Season,Week 1,11.1,G2,SK,1 - 0
LEC 2021 Spring Season,Week 1,11.1,FNC,RGE,0 - 1
LEC 2021 Spring Season,Week 1,11.1,AST,VIT,1 - 0
LEC 2021 Spring Season,Week 1,11.1,RGE,SK,1 - 0
LEC 2021 Spring Season,Week 1,11.1,MSF,MAD,1 - 0
LEC 2021 Spring Season,Week 1,11.1,FNC,S04,1 - 0
LEC 2021 Spring Season,Week 1,11.1,XL,G2,0 - 1
LEC 2021 Spring Season,Week 2,11.2,MAD,XL,1 - 0
LEC 2021 Spring Season,Week 2,11.2,S04,SK,1 - 0
LEC 2021 Spring Season,Week 2,11.2,G2,AST,1 - 0
LEC 2021 Spring Season,Week 2,11.2,MSF,RGE,0 - 1
LEC 2021 Spring Season,Week 2,11.2,VIT,FNC,0 - 1
LEC 2021 Spring Season,Week 2,11.2,XL,AST,1 - 0
LEC 2021 Spring Season,Week 2,11.2,MSF,SK,0 - 1
LEC 2021 Spring Season,Week 2,11.2,VIT,RGE,0 - 1
LEC 2021 Spring Season,Week 2,11.2,S04,G2,1 - 0
LEC 2021 Spring Season,Week 2,11.2,FNC,MAD,0 - 1
LEC 2021 Spring Season,Week 3,11.2,MSF,XL,0 - 1
LEC 2021 Spring Season,Week 3,11.2,MAD,SK,0 - 1
LEC 2021 Spring Season,Week 3,11.2,VIT,G2,0 - 1
LEC 2021 Spring Season,Week 3,11.2,S04,RGE,1 - 0
LEC 2021 Spring Season,Week 3,11.2,FNC,AST,1 - 0
LEC 2021 Spring Season,Week 3,11.2,S04,MSF,1 - 0
LEC 2021 Spring Season,Week 3,11.2,XL,SK,1 - 0
LEC 2021 Spring Season,Week 3,11.2,VIT,MAD,0 - 1
LEC 2021 Spring Season,Week 3,11.2,RGE,AST,1 - 0
LEC 2021 Spring Season,Week 3,11.2,G2,FNC,0 - 1
LEC 2021 Spring Season,Week 4,11.3,S04,AST,0 - 1
LEC 2021 Spring Season,Week 4,11.3,VIT,XL,0 - 1
LEC 2021 Spring Season,Week 4,11.3,MSF,G2,0 - 1
LEC 2021 Spring Season,Week 4,11.3,MAD,RGE,0 - 1
LEC 2021 Spring Season,Week 4,11.3,FNC,SK,1 - 0
LEC 2021 Spring Season,Week 4,11.3,VIT,SK,0 - 1
LEC 2021 Spring Season,Week 4,11.3,MSF,AST,1 - 0
LEC 2021 Spring Season,Week 4,11.3,S04,MAD,0 - 1
LEC 2021 Spring Season,Week 4,11.3,G2,RGE,1 - 0
LEC 2021 Spring Season,Week 4,11.3,FNC,XL,1 - 0
LEC 2021 Spring Season,Week 5,11.3,S04,SK,0 - 1
LEC 2021 Spring Season,Week 5,11.3,MAD,XL,1 - 0
LEC 2021 Spring Season,Week 5,11.3,G2,AST,1 - 0
LEC 2021 Spring Season,Week 5,11.3,MSF,RGE,0 - 1
LEC 2021 Spring Season,Week 5,11.3,VIT,FNC,1 - 0
LEC 2021 Spring Season,Week 5,11.3,XL,AST,0 - 1
